Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.010000	0.10132	0.99984	1.0002	3.3642e-05	0.0018593	0.00012298	75.970	76.014	1402.4	-0.24141	1791.1	0.55568	liquid
0.19332	0.10132	0.99986	1.0001	0.013967	0.015793	0.051115	75.962	76.002	1403.4	-0.24123	1779.8	0.55614	liquid
0.37663	0.10132	0.99987	1.0001	0.027899	0.029724	0.10206	75.955	75.991	1404.3	-0.24105	1768.5	0.55661	liquid
0.55995	0.10132	0.99988	1.0001	0.041828	0.043654	0.15297	75.948	75.980	1405.2	-0.24088	1757.3	0.55708	liquid
0.74327	0.10132	0.99989	1.0001	0.055756	0.057581	0.20384	75.941	75.969	1406.1	-0.24070	1746.3	0.55754	liquid
0.92658	0.10132	0.99990	1.0001	0.069681	0.071507	0.25467	75.933	75.959	1407.0	-0.24052	1735.4	0.55800	liquid
1.1099	0.10132	0.99991	1.0001	0.083605	0.085430	0.30545	75.926	75.948	1407.9	-0.24035	1724.5	0.55846	liquid
1.2932	0.10132	0.99992	1.0001	0.097526	0.099352	0.35619	75.918	75.938	1408.8	-0.24017	1713.8	0.55892	liquid
1.4765	0.10132	0.99992	1.0001	0.11145	0.11327	0.40690	75.910	75.927	1409.7	-0.24000	1703.2	0.55937	liquid
1.6598	0.10132	0.99993	1.0001	0.12536	0.12719	0.45756	75.903	75.917	1410.6	-0.23982	1692.7	0.55983	liquid
1.8432	0.10132	0.99994	1.0001	0.13928	0.14111	0.50818	75.895	75.907	1411.5	-0.23965	1682.3	0.56028	liquid
2.0265	0.10132	0.99994	1.0001	0.15319	0.15502	0.55876	75.887	75.897	1412.4	-0.23948	1672.0	0.56073	liquid
2.2098	0.10132	0.99995	1.0001	0.16711	0.16893	0.60930	75.879	75.888	1413.2	-0.23930	1661.8	0.56118	liquid
2.3931	0.10132	0.99995	1.0000	0.18102	0.18284	0.65980	75.871	75.878	1414.1	-0.23913	1651.7	0.56162	liquid
2.5764	0.10132	0.99996	1.0000	0.19493	0.19675	0.71027	75.863	75.869	1415.0	-0.23896	1641.7	0.56207	liquid
2.7597	0.10132	0.99996	1.0000	0.20883	0.21066	0.76069	75.855	75.859	1415.9	-0.23879	1631.8	0.56251	liquid
2.9431	0.10132	0.99997	1.0000	0.22274	0.22456	0.81107	75.847	75.850	1416.7	-0.23862	1622.0	0.56295	liquid
3.1264	0.10132	0.99997	1.0000	0.23664	0.23847	0.86141	75.839	75.841	1417.6	-0.23845	1612.3	0.56339	liquid
3.3097	0.10132	0.99997	1.0000	0.25054	0.25237	0.91171	75.831	75.832	1418.4	-0.23828	1602.7	0.56383	liquid
3.4930	0.10132	0.99997	1.0000	0.26444	0.26627	0.96198	75.822	75.823	1419.3	-0.23811	1593.2	0.56427	liquid
3.6763	0.10132	0.99997	1.0000	0.27834	0.28017	1.0122	75.814	75.814	1420.1	-0.23795	1583.7	0.56470	liquid
3.8596	0.10132	0.99997	1.0000	0.29224	0.29407	1.0624	75.806	75.806	1421.0	-0.23778	1574.4	0.56513	liquid
4.0430	0.10132	0.99997	1.0000	0.30614	0.30796	1.1125	75.797	75.797	1421.8	-0.23761	1565.1	0.56557	liquid
4.2263	0.10132	0.99997	1.0000	0.32003	0.32186	1.1626	75.789	75.789	1422.7	-0.23745	1556.0	0.56600	liquid
4.4096	0.10132	0.99997	1.0000	0.33392	0.33575	1.2127	75.780	75.781	1423.5	-0.23728	1546.9	0.56642	liquid
4.5929	0.10132	0.99997	1.0000	0.34781	0.34964	1.2627	75.772	75.773	1424.3	-0.23712	1537.9	0.56685	liquid
4.7762	0.10132	0.99997	1.0000	0.36170	0.36353	1.3127	75.763	75.765	1425.2	-0.23696	1528.9	0.56728	liquid
4.9595	0.10132	0.99997	1.0000	0.37559	0.37742	1.3627	75.754	75.757	1426.0	-0.23679	1520.1	0.56770	liquid
5.1429	0.10132	0.99996	1.0000	0.38948	0.39130	1.4126	75.745	75.749	1426.8	-0.23663	1511.4	0.56812	liquid
5.3262	0.10132	0.99996	1.0000	0.40336	0.40519	1.4625	75.737	75.741	1427.6	-0.23647	1502.7	0.56854	liquid
5.5095	0.10132	0.99996	1.0000	0.41725	0.41907	1.5123	75.728	75.734	1428.4	-0.23631	1494.1	0.56896	liquid
5.6928	0.10132	0.99995	1.0000	0.43113	0.43296	1.5621	75.719	75.726	1429.2	-0.23615	1485.6	0.56938	liquid
5.8761	0.10132	0.99995	1.0001	0.44501	0.44684	1.6119	75.710	75.719	1430.1	-0.23598	1477.1	0.56980	liquid
6.0594	0.10132	0.99994	1.0001	0.45889	0.46072	1.6616	75.701	75.711	1430.9	-0.23582	1468.8	0.57021	liquid
6.2428	0.10132	0.99993	1.0001	0.47277	0.47460	1.7113	75.692	75.704	1431.7	-0.23566	1460.5	0.57062	liquid
6.4261	0.10132	0.99993	1.0001	0.48665	0.48847	1.7610	75.682	75.697	1432.5	-0.23551	1452.3	0.57103	liquid
6.6094	0.10132	0.99992	1.0001	0.50052	0.50235	1.8106	75.673	75.690	1433.2	-0.23535	1444.1	0.57144	liquid
6.7927	0.10132	0.99991	1.0001	0.51440	0.51622	1.8602	75.664	75.683	1434.0	-0.23519	1436.1	0.57185	liquid
6.9760	0.10132	0.99991	1.0001	0.52827	0.53010	1.9097	75.655	75.676	1434.8	-0.23503	1428.1	0.57226	liquid
7.1593	0.10132	0.99990	1.0001	0.54214	0.54397	1.9592	75.645	75.670	1435.6	-0.23488	1420.2	0.57267	liquid
7.3427	0.10132	0.99989	1.0001	0.55601	0.55784	2.0087	75.636	75.663	1436.4	-0.23472	1412.3	0.57307	liquid
7.5260	0.10132	0.99988	1.0001	0.56988	0.57171	2.0581	75.627	75.657	1437.2	-0.23456	1404.5	0.57347	liquid
7.7093	0.10132	0.99987	1.0001	0.58375	0.58558	2.1075	75.617	75.650	1437.9	-0.23441	1396.8	0.57388	liquid
7.8926	0.10132	0.99986	1.0001	0.59762	0.59945	2.1569	75.607	75.644	1438.7	-0.23425	1389.2	0.57428	liquid
8.0759	0.10132	0.99985	1.0002	0.61149	0.61331	2.2062	75.598	75.638	1439.5	-0.23410	1381.6	0.57467	liquid
8.2592	0.10132	0.99983	1.0002	0.62535	0.62718	2.2555	75.588	75.631	1440.2	-0.23394	1374.1	0.57507	liquid
